"Mode_Damage_Grade";"Number_Buildings";"Mode_Technical_Solutuion";"ward_id";"Percentage_Injury_Loss";"Percentage_Staying";"Number_Deaths";"Number Schools ";"Number Health Post";"has_internet_post";"has_internet_pre";"has_water_pre";"has_water_post";"has_electricity_pre";"has_electricity_post";"Population";"average_income";"Percentage_Education_Level";"Percentage_Bankaccount"
"Grade 1";714;"Minor repair";120703;0.0;0.11042944785276074;11;0;0;0.02147239263803681;0.02147239263803681;0.9938650306748467;0.9938650306748467;0.696319018404908;0.696319018404908;2913;14125.766871165644;0.39263803680981596;0.3113496932515337
"Grade 5";538;"Reconstruction";120802;0.0037313432835820895;0.4832089552238806;0;0;0;0.0018656716417910447;0.0;0.9832089552238806;0.917910447761194;0.020522388059701493;0.0018656716417910447;2861;10223.880597014926;0.3283582089552239;0.022388059701492536
"Grade 2";722;"Major repair";120502;0.007987220447284345;0.09904153354632587;7;0;0;0.0;0.0;0.9952076677316294;0.9920127795527156;0.12140575079872204;0.12140575079872204;3358;12803.514376996805;0.34824281150159747;0.10383386581469649
"Grade 4";548;"Reconstruction";120801;0.0019157088122605363;0.08237547892720307;0;0;0;0.0;0.0;0.9808429118773946;0.9808429118773946;0.0019157088122605363;0.0019157088122605363;2784;10842.911877394636;0.18582375478927204;0.013409961685823755
"Grade 3";930;"Reconstruction";120602;0.00562429696287964;0.6760404949381328;34;0;0;0.015748031496062992;0.020247469066366704;0.9977502812148481;0.9977502812148481;0.96962879640045;0.968503937007874;4318;12879.640044994376;0.5399325084364455;0.24184476940382452
"Grade 5";303;"Reconstruction";120108;0.0;0.7428571428571429;3;0;0;0.0;0.0;0.9523809523809523;0.9523809523809523;0.3047619047619048;0.6412698412698413;1795;11412.698412698413;0.38095238095238093;0.012698412698412698
"Grade 2";288;"Minor repair";120109;0.0033333333333333335;0.55;5;0;0;0.0;0.0;0.9033333333333333;0.9033333333333333;0.43;0.48333333333333334;1634;10783.333333333334;0.38;0.05333333333333334
"Grade 2";741;"Minor repair";120705;0.0013986013986013986;0.24615384615384617;17;0;0;0.06993006993006994;0.06993006993006994;0.9818181818181818;0.9818181818181818;0.5076923076923077;0.5020979020979021;3425;16839.16083916084;0.41818181818181815;0.1972027972027972
"Grade 2";564;"Minor repair";120104;0.0038461538461538464;0.2826923076923077;5;0;1;0.021153846153846155;0.01730769230769231;0.6480769230769231;0.6538461538461539;0.48846153846153845;0.5038461538461538;3047;12182.692307692309;0.33653846153846156;0.13076923076923078
"Grade 1";442;"Minor repair";120105;0.007263922518159807;0.27602905569007263;7;0;0;0.0;0.0;0.8426150121065376;0.847457627118644;0.004842615012106538;0.029055690072639227;2009;11138.014527845036;0.34624697336561744;0.05569007263922518
"Grade 4";641;"Reconstruction";120106;0.01597444089456869;0.7412140575079872;21;0;0;0.1501597444089457;0.1501597444089457;0.865814696485623;0.8642172523961661;0.8690095846645367;0.8690095846645367;3402;11597.444089456869;0.4792332268370607;0.06230031948881789
"Grade 1";581;"No need";120710;0.006048387096774193;0.10483870967741936;0;0;0;0.004032258064516129;0.004032258064516129;0.9536290322580645;0.9536290322580645;0.4879032258064516;0.4879032258064516;2618;17318.548387096773;0.5181451612903226;0.14919354838709678
"Grade 4";388;"Major repair";120308;0.010723860589812333;0.7426273458445041;6;0;0;0.0;0.002680965147453083;0.9249329758713136;0.9651474530831099;0.9329758713136729;0.9168900804289544;2045;10107.238605898123;0.2975871313672922;0.02680965147453083
"Grade 4";428;"Reconstruction";120107;0.0;0.48031496062992124;7;0;0;0.0;0.0;0.84251968503937;0.84251968503937;0.5826771653543307;0.5984251968503937;2139;15629.92125984252;0.49343832020997375;0.11811023622047244
"Grade 3";625;"Reconstruction";120707;0.004966887417218543;0.23841059602649006;21;0;0;0.013245033112582781;0.011589403973509934;0.9867549668874173;0.9834437086092715;0.8460264900662252;0.8394039735099338;2858;11117.549668874171;0.402317880794702;0.12417218543046357
"Grade 1";706;"Minor repair";120206;0.0;0.0420032310177706;22;0;0;0.0016155088852988692;0.0016155088852988692;0.9305331179321487;0.9305331179321487;0.3198707592891761;0.3554119547657512;3670;10807.754442649435;0.5008077544426495;0.024232633279483037
"Grade 4";314;"Reconstruction";120406;0.012987012987012988;0.5454545454545454;10;0;0;0.0;0.003246753246753247;0.9415584415584416;0.9383116883116883;;0.9967532467532467;2119;12564.935064935065;0.4448051948051948;0.237012987012987
"Grade 2";598;"Minor repair";120604;0.013282732447817837;0.3700189753320683;19;0;0;0.20872865275142316;0.21062618595825428;0.8937381404174574;0.8937381404174574;0.8064516129032258;0.8026565464895635;2674;13927.893738140418;0.4648956356736243;0.20113851992409867
"Grade 4";603;"Reconstruction";120101;0.0035149384885764497;0.1704745166959578;6;0;0;0.0;0.0;0.8295254833040422;0.8295254833040422;0.0017574692442882249;0.0017574692442882249;3258;15465.729349736379;0.24956063268892795;0.04569420035149385
"Grade 3";480;"Reconstruction";120807;0.013215859030837005;0.13876651982378854;2;0;0;0.0;0.0;0.2444933920704846;0.2511013215859031;0.9889867841409692;0.9845814977973568;2138;10649.77973568282;0.4008810572687225;0.07709251101321586
"Grade 1";574;"Minor repair";120102;0.014705882352941176;0.17279411764705882;10;0;0;0.016544117647058824;0.014705882352941176;0.4834558823529412;0.4834558823529412;0.001838235294117647;0.001838235294117647;3430;10707.720588235294;0.27389705882352944;0.03125
"Grade 3";378;"Reconstruction";120808;0.002717391304347826;0.3125;7;0;0;0.0;0.0;0.6114130434782609;0.6114130434782609;;;1786;11630.434782608696;0.47282608695652173;0.04076086956521739
"Grade 3";549;"Minor repair";120203;0.002004008016032064;0.03406813627254509;0;0;0;0.004008016032064128;0.004008016032064128;0.9959919839679359;0.9959919839679359;0.9899799599198397;0.9919839679358717;2411;12024.048096192384;0.18637274549098196;0.08617234468937876
"Grade 5";830;"Reconstruction";120409;0.0029985007496251873;0.5427286356821589;9;0;0;0.013493253373313344;0.034482758620689655;0.9325337331334332;0.9190404797601199;0.889055472263868;0.8845577211394303;3681;10637.181409295352;0.3568215892053973;0.029985007496251874
"Grade 3";532;"Reconstruction";120608;0.004032258064516129;0.4939516129032258;18;0;1;0.012096774193548387;0.012096774193548387;0.9314516129032258;0.9334677419354839;0.125;0.12298387096774194;2609;11784.274193548386;0.4153225806451613;0.10887096774193548
"Grade 5";528;"Reconstruction";120301;0.0057251908396946565;0.6393129770992366;5;0;0;0.0057251908396946565;0.007633587786259542;;0.9980916030534351;0.9618320610687023;0.9618320610687023;2894;15877.862595419847;0.5610687022900763;0.11068702290076336
"Grade 4";405;"Reconstruction";120407;0.0;0.5625;5;0;0;0.0;0.0;;0.9973958333333334;;;2502;11471.354166666666;0.1640625;0.059895833333333336
"Grade 2";361;"Reconstruction";120603;0.028846153846153848;0.5480769230769231;7;0;0;0.035256410256410256;0.035256410256410256;0.9903846153846154;0.9711538461538461;0.9326923076923077;0.9294871794871795;1792;12564.102564102564;0.46474358974358976;0.1794871794871795
"Grade 5";432;"Reconstruction";120302;0.04640371229698376;0.6728538283062645;16;0;0;0.0;0.0;0.814385150812065;0.6960556844547564;0.7192575406032483;0.6960556844547564;2292;12714.61716937355;0.62877030162413;0.11600928074245939
"Grade 4";430;"Reconstruction";120706;0.0;0.18159203980099503;8;0;2;0.13930348258706468;0.13681592039800994;;;0.8258706467661692;0.736318407960199;2126;22226.36815920398;0.4079601990049751;0.08706467661691543
"Grade 2";807;"Minor repair";120709;0.0;0.17656765676567657;8;0;0;0.0033003300330033004;0.0033003300330033004;0.9108910891089109;0.9092409240924092;0.28052805280528054;0.2838283828382838;3083;12945.544554455446;0.48514851485148514;0.2986798679867987
"Grade 3";441;"Reconstruction";120103;0.004830917874396135;0.4033816425120773;3;0;0;0.00966183574879227;0.012077294685990338;0.7246376811594203;0.7125603864734299;0.7028985507246377;0.7077294685990339;2472;12004.830917874397;0.27053140096618356;0.06038647342995169
"Grade 1";581;"Minor repair";120809;0.0;0.3108910891089109;2;0;0;0.055445544554455446;0.055445544554455446;0.7544554455445545;0.7504950495049505;0.5881188118811881;0.5861386138613861;2508;12207.920792079209;0.2;0.031683168316831684
"Grade 2";606;"Minor repair";120810;0.005291005291005291;0.2927689594356261;14;0;0;0.07231040564373897;0.07407407407407407;0.8024691358024691;0.7971781305114638;0.7107583774250441;0.7107583774250441;2581;12477.954144620811;0.5008818342151675;0.1693121693121693
"Grade 5";528;"Reconstruction";120607;0.0036231884057971015;0.6014492753623188;10;0;1;0.0036231884057971015;0.0018115942028985507;0.9945652173913043;0.9945652173913043;0.9202898550724637;0.9202898550724637;2508;10498.188405797102;0.3713768115942029;0.014492753623188406
"Grade 3";372;"Major repair";120309;0.005494505494505495;0.7527472527472527;20;0;2;0.0;0.0;0.760989010989011;0.7582417582417582;0.43131868131868134;0.43131868131868134;1979;10013.736263736264;0.3956043956043956;0.0
"Grade 3";474;"Major repair";120304;0.018779342723004695;0.284037558685446;10;0;0;0.002347417840375587;0.002347417840375587;;;;;2123;11478.87323943662;0.2793427230046948;0.06103286384976526
"Grade 1";731;"Minor repair";120601;0.001466275659824047;0.19501466275659823;8;0;0;0.0;0.0;0.9941348973607038;0.9941348973607038;0.9926686217008798;0.9926686217008798;3339;11158.357771260997;0.6085043988269795;0.09530791788856305
"Grade 4";387;"Reconstruction";120303;0.0035087719298245615;0.543859649122807;8;0;1;0.0;0.0;0.8771929824561403;0.8666666666666667;0.856140350877193;0.8421052631578947;1579;11087.719298245614;0.512280701754386;0.11929824561403508
"Grade 2";744;"Minor repair";120504;0.001445086705202312;0.06936416184971098;10;0;0;0.005780346820809248;0.005780346820809248;;;0.4869942196531792;0.48554913294797686;3779;12825.14450867052;0.38583815028901736;0.07514450867052024
"Grade 2";600;"Minor repair";120509;0.00375234521575985;0.22889305816135083;5;0;0;0.001876172607879925;0.00375234521575985;0.851782363977486;0.851782363977486;0.6060037523452158;0.6041275797373359;2949;16923.076923076922;0.28330206378986866;0.043151969981238276
"Grade 4";581;"Reconstruction";120110;0.005747126436781609;0.6973180076628352;15;0;0;0.0;0.0;0.7203065134099617;0.7203065134099617;;;3089;13630.268199233717;0.5325670498084292;0.05938697318007663
"Grade 1";863;"Minor repair";200901;0.0025220680958385876;0.07313997477931904;7;1;0;0.0;0.0;0.6343001261034048;0.6330390920554855;0.5220680958385876;0.5220680958385876;4435;11538.461538461539;0.4060529634300126;0.08196721311475409
"Grade 1";444;"No need";120208;0.0;0.09863013698630137;14;0;0;0.5534246575342465;0.5534246575342465;0.7753424657534247;0.7561643835616438;0.7835616438356164;0.5808219178082191;1775;10041.09589041096;0.4273972602739726;0.11506849315068493
"Grade 3";724;"Reconstruction";200804;0.00583941605839416;0.727007299270073;8;0;0;0.0;0.0;0.7518248175182481;0.7503649635036497;0.004379562043795621;0.0072992700729927005;3813;12875.912408759124;0.4145985401459854;0.18248175182481752
"Grade 1";2048;"Minor repair";200506;0.007109995817649519;0.04642409033877039;17;11;1;0.02969468841488917;0.03136762860727729;0.7929736511919699;0.7929736511919699;0.9899623588456713;0.9895441237975743;10097;15556.25261396905;0.672103722291928;0.5315767461313258
"Grade 3";1431;"Minor repair";200507;0.005860805860805861;0.054945054945054944;12;1;0;0.0029304029304029304;0.0029304029304029304;0.7245421245421245;0.7186813186813187;0.895970695970696;0.8952380952380953;6698;12567.765567765568;0.421978021978022;0.17655677655677657
